Data ; Dia ; Hora ;Codigo; Comodo ;Móvel;Ação; Watts ; Custo/Mês ; Métrica
08/jan; Terça ; 18:03 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
08/jan; Terça ; 18:03 ;4; Sala ; Ventilador ; Desligar  ;;;
08/jan; Terça ; 18:04 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
08/jan; Terça ; 18:28 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
08/jan; Terça ; 22:03 ;3; Quarto ; Abajur ; Apagar ;;;
08/jan; Terça ; 23:01 ;1; Suíte ; Abajur ; Apagar ;;;
09/jan; Quarta ; 5:26 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
09/jan; Quarta ; 6:26 ;1; Suíte ; Abajur ; Apagar ;;;
09/jan; Quarta ; 6:42 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
09/jan; Quarta ; 7:02 ;5; Cozinha ; Cafeteira ; Desligar ;;;
09/jan; Quarta ; 9:27 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
09/jan; Quarta ; 13:02 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
09/jan; Quarta ; 18:02 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
09/jan; Quarta ; 18:02 ;4; Sala ; Ventilador ; Desligar  ;;;
09/jan; Quarta ; 18:03 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
09/jan; Quarta ; 18:27 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
09/jan; Quarta ; 22:02 ;3; Quarto ; Abajur ; Apagar ;;;
09/jan; Quarta ; 23:00 ;1; Suíte ; Abajur ; Apagar ;;;
10/jan; Quinta ; 5:25 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
10/jan; Quinta ; 6:25 ;1; Suíte ; Abajur ; Apagar ;;;
10/jan; Quinta ; 6:47 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
10/jan; Quinta ; 7:07 ;5; Cozinha ; Cafeteira ; Desligar ;;;
10/jan; Quinta ; 9:32 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
10/jan; Quinta ; 13:07 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
10/jan; Quinta ; 18:07 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
10/jan; Quinta ; 18:07 ;4; Sala ; Ventilador ; Desligar  ;;;
10/jan; Quinta ; 18:08 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
10/jan; Quinta ; 18:32 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
10/jan; Quinta ; 22:07 ;3; Quarto ; Abajur ; Apagar ;;;
10/jan; Quinta ; 23:09 ;1; Suíte ; Abajur ; Apagar ;;;
11/jan; Sexta ; 5:33 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
11/jan; Sexta ; 6:33 ;1; Suíte ; Abajur ; Apagar ;;;
11/jan; Sexta ; 6:50 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
11/jan; Sexta ; 7:10 ;5; Cozinha ; Cafeteira ; Desligar ;;;
11/jan; Sexta ; 9:31 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
11/jan; Sexta ; 13:06 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
11/jan; Sexta ; 18:06 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
11/jan; Sexta ; 18:06 ;4; Sala ; Ventilador ; Desligar  ;;;
11/jan; Sexta ; 18:07 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
11/jan; Sexta ; 18:31 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
11/jan; Sexta ; 22:06 ;3; Quarto ; Abajur ; Apagar ;;;
11/jan; Sexta ; 23:07 ;1; Suíte ; Abajur ; Apagar ;;;
12/jan; Sábado ; 5:34 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
12/jan; Sábado ; 6:34 ;1; Suíte ; Abajur ; Apagar ;;;
12/jan; Sábado ; 6:42 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
12/jan; Sábado ; 7:02 ;5; Cozinha ; Cafeteira ; Desligar ;;;
12/jan; Sábado ; 9:25 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
12/jan; Sábado ; 13:00 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
12/jan; Sábado ; 14:00 ;1; Suíte ; Janela ; Abrir ; 5W ;0,01; 1min/dia
12/jan; Sábado ; 16:00 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
12/jan; Sábado ; 16:10 ;5; Cozinha ; Cafeteira ; Desligar ;;;
12/jan; Sábado ; 18:02 ;4; Sala ; Ventilador ; Desligar  ;;;
12/jan; Sábado ; 18:07 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
12/jan; Sábado ; 18:08 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
12/jan; Sábado ; 18:27 ;1; Suíte ; Janela ; Fechar; 5W ;0,01; 1min/dia
12/jan; Sábado ; 18:31 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
12/jan; Sábado ; 22:27 ;3; Quarto ; Abajur ; Apagar ;;;
12/jan; Sábado ; 23:03 ;1; Suíte ; Abajur ; Apagar ;;;
13/jan; Domingo ; 8:29 ;1; Suíte ; Janela ; Abrir ; 5W ;0,01; 1min/dia
13/jan; Domingo ; 9:04 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
13/jan; Domingo ; 9:14 ;5; Cozinha ; Cafeteira ; Desligar ;;;
13/jan; Domingo ; 9:32 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
13/jan; Domingo ; 13:07 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
13/jan; Domingo ; 16:07 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
13/jan; Domingo ; 16:17 ;5; Cozinha ; Cafeteira ; Desligar ;;;
13/jan; Domingo ; 18:10 ;4; Sala ; Ventilador ; Desligar  ;;;
13/jan; Domingo ; 18:15 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
13/jan; Domingo ; 18:16 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
13/jan; Domingo ; 18:40 ;1; Suíte ; Janela ; Fechar; 5W ;0,01; 1min/dia
13/jan; Domingo ; 18:41 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
13/jan; Domingo ; 22:10 ;3; Quarto ; Abajur ; Apagar ;;;
13/jan; Domingo ; 23:07 ;1; Suíte ; Abajur ; Apagar ;;;
14/jan; Segunda ; 5:35 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
14/jan; Segunda ; 6:35 ;1; Suíte ; Abajur ; Apagar ;;;
14/jan; Segunda ; 6:44 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
14/jan; Segunda ; 7:04 ;5; Cozinha ; Cafeteira ; Desligar ;;;
14/jan; Segunda ; 9:25 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
14/jan; Segunda ; 13:00 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
14/jan; Segunda ; 18:00 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
14/jan; Segunda ; 18:00 ;4; Sala ; Ventilador ; Desligar  ;;;
14/jan; Segunda ; 18:01 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
14/jan; Segunda ; 18:25 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
14/jan; Segunda ; 22:00 ;3; Quarto ; Abajur ; Apagar ;;;
14/jan; Segunda ; 23:01 ;1; Suíte ; Abajur ; Apagar ;;;
15/jan; Terça ; 5:29 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
15/jan; Terça ; 6:29 ;1; Suíte ; Abajur ; Apagar ;;;
15/jan; Terça ; 6:42 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
15/jan; Terça ; 7:02 ;5; Cozinha ; Cafeteira ; Desligar ;;;
15/jan; Terça ; 9:28 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
15/jan; Terça ; 13:03 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
15/jan; Terça ; 18:03 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
15/jan; Terça ; 18:03 ;4; Sala ; Ventilador ; Desligar  ;;;
15/jan; Terça ; 18:04 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
15/jan; Terça ; 18:28 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
15/jan; Terça ; 22:03 ;3; Quarto ; Abajur ; Apagar ;;;
15/jan; Terça ; 23:02 ;1; Suíte ; Abajur ; Apagar ;;;
16/jan; Quarta ; 5:27 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
16/jan; Quarta ; 6:27 ;1; Suíte ; Abajur ; Apagar ;;;
16/jan; Quarta ; 6:43 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
16/jan; Quarta ; 7:03 ;5; Cozinha ; Cafeteira ; Desligar ;;;
16/jan; Quarta ; 9:27 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
16/jan; Quarta ; 13:02 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
16/jan; Quarta ; 18:02 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
16/jan; Quarta ; 18:02 ;4; Sala ; Ventilador ; Desligar  ;;;
16/jan; Quarta ; 18:03 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
16/jan; Quarta ; 18:27 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
16/jan; Quarta ; 22:02 ;3; Quarto ; Abajur ; Apagar ;;;
16/jan; Quarta ; 23:00 ;1; Suíte ; Abajur ; Apagar ;;;
17/jan; Quinta ; 5:29 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
17/jan; Quinta ; 6:29 ;1; Suíte ; Abajur ; Apagar ;;;
17/jan; Quinta ; 6:49 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
17/jan; Quinta ; 7:09 ;5; Cozinha ; Cafeteira ; Desligar ;;;
17/jan; Quinta ; 9:35 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
17/jan; Quinta ; 13:10 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
17/jan; Quinta ; 18:10 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
17/jan; Quinta ; 18:10 ;4; Sala ; Ventilador ; Desligar  ;;;
17/jan; Quinta ; 18:11 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
17/jan; Quinta ; 18:35 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
17/jan; Quinta ; 22:10 ;3; Quarto ; Abajur ; Apagar ;;;
17/jan; Quinta ; 23:06 ;1; Suíte ; Abajur ; Apagar ;;;
18/jan; Sexta ; 5:32 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
18/jan; Sexta ; 6:32 ;1; Suíte ; Abajur ; Apagar ;;;
18/jan; Sexta ; 6:46 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
18/jan; Sexta ; 7:06 ;5; Cozinha ; Cafeteira ; Desligar ;;;
18/jan; Sexta ; 9:34 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
18/jan; Sexta ; 13:09 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
18/jan; Sexta ; 18:09 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
18/jan; Sexta ; 18:09 ;4; Sala ; Ventilador ; Desligar  ;;;
18/jan; Sexta ; 18:10 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
18/jan; Sexta ; 18:34 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
18/jan; Sexta ; 22:09 ;3; Quarto ; Abajur ; Apagar ;;;
18/jan; Sexta ; 23:08 ;1; Suíte ; Abajur ; Apagar ;;;
19/jan; Sábado ; 5:32 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
19/jan; Sábado ; 6:32 ;1; Suíte ; Abajur ; Apagar ;;;
19/jan; Sábado ; 6:42 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
19/jan; Sábado ; 7:02 ;5; Cozinha ; Cafeteira ; Desligar ;;;
19/jan; Sábado ; 9:26 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
19/jan; Sábado ; 13:01 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
19/jan; Sábado ; 14:01 ;1; Suíte ; Janela ; Abrir ; 5W ;0,01; 1min/dia
19/jan; Sábado ; 16:01 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
19/jan; Sábado ; 16:11 ;5; Cozinha ; Cafeteira ; Desligar ;;;
19/jan; Sábado ; 18:01 ;4; Sala ; Ventilador ; Desligar  ;;;
19/jan; Sábado ; 18:06 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
19/jan; Sábado ; 18:07 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
19/jan; Sábado ; 18:26 ;1; Suíte ; Janela ; Fechar; 5W ;0,01; 1min/dia
19/jan; Sábado ; 18:31 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
19/jan; Sábado ; 22:26 ;3; Quarto ; Abajur ; Apagar ;;;
19/jan; Sábado ; 23:02 ;1; Suíte ; Abajur ; Apagar ;;;
20/jan; Domingo ; 8:27 ;1; Suíte ; Janela ; Abrir ; 5W ;0,01; 1min/dia
20/jan; Domingo ; 9:02 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
20/jan; Domingo ; 9:12 ;5; Cozinha ; Cafeteira ; Desligar ;;;
20/jan; Domingo ; 9:29 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
20/jan; Domingo ; 13:04 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
20/jan; Domingo ; 16:04 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
20/jan; Domingo ; 16:14 ;5; Cozinha ; Cafeteira ; Desligar ;;;
20/jan; Domingo ; 18:01 ;4; Sala ; Ventilador ; Desligar  ;;;
20/jan; Domingo ; 18:06 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
20/jan; Domingo ; 18:07 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
20/jan; Domingo ; 18:31 ;1; Suíte ; Janela ; Fechar; 5W ;0,01; 1min/dia
20/jan; Domingo ; 18:32 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
20/jan; Domingo ; 22:01 ;3; Quarto ; Abajur ; Apagar ;;;
20/jan; Domingo ; 23:04 ;1; Suíte ; Abajur ; Apagar ;;;
21/jan; Segunda ; 5:28 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
21/jan; Segunda ; 6:28 ;1; Suíte ; Abajur ; Apagar ;;;
21/jan; Segunda ; 6:49 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
21/jan; Segunda ; 7:09 ;5; Cozinha ; Cafeteira ; Desligar ;;;
21/jan; Segunda ; 9:34 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
21/jan; Segunda ; 13:09 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
21/jan; Segunda ; 18:09 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
21/jan; Segunda ; 18:09 ;4; Sala ; Ventilador ; Desligar  ;;;
21/jan; Segunda ; 18:10 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
21/jan; Segunda ; 18:34 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
21/jan; Segunda ; 22:09 ;3; Quarto ; Abajur ; Apagar ;;;
21/jan; Segunda ; 23:09 ;1; Suíte ; Abajur ; Apagar ;;;
22/jan; Terça ; 5:33 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
22/jan; Terça ; 6:33 ;1; Suíte ; Abajur ; Apagar ;;;
22/jan; Terça ; 6:48 ;5; Cozinha ; Cafeteira ; Ligar ; 600W ;2,41; 12min/dia
22/jan; Terça ; 7:08 ;5; Cozinha ; Cafeteira ; Desligar ;;;
22/jan; Terça ; 9:33 ;3; Quarto ; Janela ; Abrir ; 5W ;0,01; 1min/dia
22/jan; Terça ; 13:08 ;4; Sala ; Ventilador ; Ligar ; 200W ;4,01; 1h/dia 
22/jan; Terça ; 18:08 ;3; Quarto ; Janela ; Fechar; 5W ;0,01; 1min/dia
22/jan; Terça ; 18:08 ;4; Sala ; Ventilador ; Desligar  ;;;
22/jan; Terça ; 18:09 ;3; Quarto ; Abajur ; Acender ;  60W ;1,2; 1h/dia
22/jan; Terça ; 18:33 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
22/jan; Terça ; 22:08 ;3; Quarto ; Abajur ; Apagar ;;;
22/jan; Terça ; 23:08 ;1; Suíte ; Abajur ; Apagar ;;;
23/jan; Quarta ; 5:31 ;1; Suíte ; Abajur ; Acender ;  60W ;1,2; 1h/dia
23/jan; Quarta ; 6:31 ;1; Suíte ; Abajur ; Apagar ;;;
